2017 October 01 ,1111
2017 October 08 ,1120
2017 October 15 ,1117
2017 October 22 ,1142
2017 October 29 ,1206
2017 November 05 ,1205
2017 November 12 ,1219
2017 November 19 ,1274
2017 November 26 ,1269
2017 December 03 ,1296
2017 December 10 ,1294
2017 December 17 ,1338
2017 December 24 ,1351
2017 December 31 ,1353
2018 January 07 ,1359
2018 January 14 ,1396
2018 January 21 ,1446
2018 January 28 ,1478
2018 February 04 ,1492
2018 February 11 ,1467
2018 February 18 ,1482
2018 February 25 ,1503
2018 March 04 ,1530
2018 March 11 ,1532
2018 March 18 ,1547
2018 March 25 ,1561
2018 April 01 ,1557
2018 April 08 ,1542
2018 April 15 ,1546
2018 April 22 ,1563
2018 April 29 ,1572
2018 May 06 ,1584
2018 May 13 ,1559
2018 May 20 ,1558
2018 May 27 ,1580
2018 June 03 ,1582
2018 June 10 ,1598
2018 June 17 ,1567
2018 June 24 ,1547
2018 July 01 ,1573
2018 July 08 ,1587
2018 July 15 ,1593
2018 July 22 ,1604
2018 July 29 ,1627
2018 August 05 ,1670
2018 August 12 ,1746
2018 August 19 ,1770
2018 August 26 ,1822
2018 September 02 ,1835
2018 September 09 ,1766
2018 September 16 ,1867
2018 September 23 ,1886
2018 September 30 ,1920
2018 October 07 ,1945
2018 October 14 ,1979
2018 October 21 ,2001
2018 October 28 ,2076
2018 November 04 ,2097
2018 November 11 ,2094
2018 November 18 ,2081
2018 November 25 ,2071
2018 December 02 ,2073
2018 December 09 ,2068
2018 December 16 ,2073
2018 December 23 ,2067
2018 December 30 ,2073
2019 January 06 ,2086
2019 January 13 ,2104
2019 January 20 ,2116
2019 January 27 ,2117
2019 February 03 ,2104
2019 February 10 ,2062
2019 February 17 ,2068
2019 February 24 ,2086
2019 March 03 ,2098
2019 March 10 ,2101
2019 March 17 ,2113
2019 March 24 ,2121
