1,Bitcoin,BTC,$6686296148,$438.80,15237750,https://coinmarketcap.com/currencies/bitcoin/
2,Ethereum,ETH,$359310398,$4.65,77210980,https://coinmarketcap.com/currencies/ethereum/
3,XRP,XRP,$276146712,$0.008100,34090841338,https://coinmarketcap.com/currencies/ripple/
4,Litecoin,LTC,$154494996,$3.46,44596676,https://coinmarketcap.com/currencies/litecoin/
5,Dogecoin,DOGE,$29460407,$0.000285,103189892168,https://coinmarketcap.com/currencies/dogecoin/
6,MaidSafeCoin,MAID,$24984373,$0.055208,452552412,https://coinmarketcap.com/currencies/maidsafecoin/
7,Dash,DASH,$24969431,$4.00,6238558,https://coinmarketcap.com/currencies/dash/
8,Peercoin,PPC,$11679590,$0.507720,23004020,https://coinmarketcap.com/currencies/peercoin/
9,BitShares,BTS,$10554532,$0.004150,2543070711,https://coinmarketcap.com/currencies/bitshares/
10,Stellar,XLM,$10434691,$0.002157,4837356606,https://coinmarketcap.com/currencies/stellar/
11,Emercoin,EMC,$8950219,$0.242287,36940613,https://coinmarketcap.com/currencies/emercoin/
12,Factom,FCT,$8797785,$1.01,8753502,https://coinmarketcap.com/currencies/factom/
13,Monero,XMR,$8672480,$0.782148,11088034,https://coinmarketcap.com/currencies/monero/
14,Nxt,NXT,$8248670,$0.008249,999997096,https://coinmarketcap.com/currencies/nxt/
15,Agoras Tokens,AGRS,$7076934,$0.168498,42000000,https://coinmarketcap.com/currencies/agoras-tokens/
16,YbCoin,YBC,$7011823,$2.33,3006647,https://coinmarketcap.com/currencies/ybcoin/
17,VPNCoin,VASH,$6343693,$0.015846,400339746,https://coinmarketcap.com/currencies/vpncoin/
18,Bytecoin,BCN,$6054484,$0.000034,179083350098,https://coinmarketcap.com/currencies/bytecoin-bcn/
19,NEM,XEM,$5956016,$0.000662,8999999999,https://coinmarketcap.com/currencies/nem/
20,Namecoin,NMC,$5943086,$0.434404,13681000,https://coinmarketcap.com/currencies/namecoin/
21,HyperSpace,AMP,$3421395,$0.018514,184800000,https://coinmarketcap.com/currencies/synereo/
22,Rubycoin,RBY,$3165723,$0.139223,22738442,https://coinmarketcap.com/currencies/rubycoin/
23,BlackCoin,BLK,$2682407,$0.035633,75278982,https://coinmarketcap.com/currencies/blackcoin/
24,StabilityShares,XSI,$2562235,$0.277577,9230728,https://coinmarketcap.com/currencies/stabilityshares/
25,EarthCoin,EAC,$2426399,$0.000260,9346468332,https://coinmarketcap.com/currencies/earthcoin/
26,GridCoin,GRC,$1924391,$0.005155,373328145,https://coinmarketcap.com/currencies/gridcoin/
27,Nas,NAS,$1884041,$0.000188,10000000000,https://coinmarketcap.com/currencies/nas/
28,Storjcoin X,SJCX,$1769353,$0.039693,44575870,https://coinmarketcap.com/currencies/storjcoin-x/
29,Counterparty,XCP,$1700823,$0.647144,2628201,https://coinmarketcap.com/currencies/counterparty/
30,BitCrystals,BCY,$1684234,$0.039421,42724647,https://coinmarketcap.com/currencies/bitcrystals/
31,MonaCoin,MONA,$1677385,$0.057334,29256500,https://coinmarketcap.com/currencies/monacoin/
32,Quark,QRK,$1606982,$0.006437,249664587,https://coinmarketcap.com/currencies/quark/
33,Clams,CLAM,$1558842,$0.974128,1600244,https://coinmarketcap.com/currencies/clams/
34,FedoraCoin,TIPS,$1557819,$0.000006,280846322360,https://coinmarketcap.com/currencies/fedoracoin/
35,Omni,OMNI,$1526644,$2.77,550606,https://coinmarketcap.com/currencies/omni/
36,Tether,USDT,$1451600,$1.00,1451600,https://coinmarketcap.com/currencies/tether/
37,Syscoin,SYS,$1366671,$0.003188,428751485,https://coinmarketcap.com/currencies/syscoin/
38,Primecoin,XPM,$1340715,$0.099516,13472363,https://coinmarketcap.com/currencies/primecoin/
39,Novacoin,NVC,$1334187,$1.03,1301266,https://coinmarketcap.com/currencies/novacoin/
40,Global Currency Reserve,GCR,$1314698,$0.013085,100473952,https://coinmarketcap.com/currencies/global-currency-reserve/
41,MintCoin,MINT,$1282442,$0.000056,22725974539,https://coinmarketcap.com/currencies/mintcoin/
42,VeriCoin,VRC,$1262979,$0.045974,27471357,https://coinmarketcap.com/currencies/vericoin/
43,DigiByte,DGB,$1228414,$0.000206,5966143807,https://coinmarketcap.com/currencies/digibyte/
44,Infinitecoin,IFC,$1218098,$0.000013,90596274910,https://coinmarketcap.com/currencies/infinitecoin/
45,Vertcoin,VTC,$1165018,$0.050861,22905750,https://coinmarketcap.com/currencies/vertcoin/
46,BitcoinDark,BTCD,$1104501,$0.880826,1253938,https://coinmarketcap.com/currencies/bitcoindark/
47,GetGems,GEMZ,$1095331,$0.012428,88135217,https://coinmarketcap.com/currencies/gems/
48,Xiaomicoin,MI,$1094640,$0.002707,404316480,https://coinmarketcap.com/currencies/xiaomicoin/
49,Vcash,XVC,$1068996,$0.078957,13538978,https://coinmarketcap.com/currencies/vcash/
50,BoostCoin,BOST,$1036087,$0.084328,12286412,https://coinmarketcap.com/currencies/boostcoin/
51,WorldCoin,WDC,$1004385,$0.010193,98538302,https://coinmarketcap.com/currencies/worldcoin/
52,Startcoin,START,$985589,$0.026340,37417539,https://coinmarketcap.com/currencies/startcoin/
53,Megacoin,MEC,$899272,$0.028172,31921263,https://coinmarketcap.com/currencies/megacoin/
54,BilShares,BILS,$873944,$0.000874,1000000000,https://coinmarketcap.com/currencies/bilshares/
55,Xaurum,XAUR,$867424,$166.74,5202,https://coinmarketcap.com/currencies/xaurum/
56,Zetacoin,ZET,$838455,$0.005120,163769603,https://coinmarketcap.com/currencies/zetacoin/
57,SuperNET,UNITY,$817389,$1.00,816061,https://coinmarketcap.com/currencies/supernet-unity/
58,GameCredits,GAME,$796280,$0.015306,52024919,https://coinmarketcap.com/currencies/gamecredits/
59,Feathercoin,FTC,$795359,$0.007071,112480040,https://coinmarketcap.com/currencies/feathercoin/
60,Digitalcoin,DGC,$765551,$0.025013,30606523,https://coinmarketcap.com/currencies/digitalcoin/
61,NuBits,USNBT,$754159,$0.996136,757084,https://coinmarketcap.com/currencies/nubits/
62,ZcCoin,ZCC,$752539,$0.013202,57000493,https://coinmarketcap.com/currencies/zccoin/
63,Siacoin,SC,$749477,$0.000070,10675136934,https://coinmarketcap.com/currencies/siacoin/
64,UnionCoin,UNC,$745979,$0.088928,8388608,https://coinmarketcap.com/currencies/unioncoin/
65,NeuCoin,NEU,$736500,$0.003866,190516365,https://coinmarketcap.com/currencies/neucoin/
66,Radium,RADS,$735415,$0.279228,2633746,https://coinmarketcap.com/currencies/radium/
67,ReddCoin,RDD,$662490,$0.000024,27995932798,https://coinmarketcap.com/currencies/reddcoin/
68,CloakCoin,CLOAK,$637322,$0.135221,4713180,https://coinmarketcap.com/currencies/cloakcoin/
69,Anoncoin,ANC,$607401,$0.298462,2035102,https://coinmarketcap.com/currencies/anoncoin/
70,DigitalNote,XDN,$606102,$0.000088,6855356717,https://coinmarketcap.com/currencies/digitalnote/
71,Applecoin,APC,$587719,$0.026372,22286048,https://coinmarketcap.com/currencies/applecoin/
72,Gulden,NLG,$531876,$0.001785,298009853,https://coinmarketcap.com/currencies/gulden/
73,Crypti,XCR,$500977,$0.005010,100000000,https://coinmarketcap.com/currencies/crypti/
74,VootCoin,VOOT,$425483,$0.006141,69280656,https://coinmarketcap.com/currencies/vootcoin/
75,OBITS,OBITS,$414462,$0.090062,4601974,https://coinmarketcap.com/currencies/obits/
76,Curecoin,CURE,$412527,$0.015608,26431310,https://coinmarketcap.com/currencies/curecoin/
77,SpreadCoin,SPR,$400477,$0.081155,4934738,https://coinmarketcap.com/currencies/spreadcoin/
78,Riecoin,RIC,$396679,$0.018971,20910075,https://coinmarketcap.com/currencies/riecoin/
79,Qora,QORA,$391576,$0.000039,10000000000,https://coinmarketcap.com/currencies/qora/
80,TagCoin,TAG,$366603,$0.090202,4064241,https://coinmarketcap.com/currencies/tagcoin/
81,Capricoin,CPC,$345997,$0.986661,350675,https://coinmarketcap.com/currencies/capricoin/
82,Unobtanium,UNO,$344218,$1.75,196739,https://coinmarketcap.com/currencies/unobtanium/
83,Expanse,EXP,$336464,$0.287483,1170379,https://coinmarketcap.com/currencies/expanse/
84,Maxcoin,MAX,$335740,$0.008098,41459435,https://coinmarketcap.com/currencies/maxcoin/
85,SecureCoin,SRC,$335034,$0.060563,5532021,https://coinmarketcap.com/currencies/securecoin/
86,CannabisCoin,CANN,$304833,$0.003948,77218085,https://coinmarketcap.com/currencies/cannabiscoin/
87,Cryptonite,XCN,$298503,$0.001573,189814129,https://coinmarketcap.com/currencies/cryptonite/
88,Blocknet,BLOCK,$276563,$0.070723,3910516,https://coinmarketcap.com/currencies/blocknet/
89,Bullion,CBX,$260874,$0.269263,968845,https://coinmarketcap.com/currencies/bullion/
90,XCurrency,XC,$242726,$0.042883,5660204,https://coinmarketcap.com/currencies/xcurrency/
91,MediterraneanCoin,MED,$221705,$0.005483,40431897,https://coinmarketcap.com/currencies/mediterraneancoin/
92,TileCoin,XTC,$203963,$0.002040,100000000,https://coinmarketcap.com/currencies/tilecoin/
93,MAZA,MAZA,$189860,$0.000219,865886100,https://coinmarketcap.com/currencies/mazacoin/
94,Aeon,AEON,$178699,$0.017060,10474474,https://coinmarketcap.com/currencies/aeon/
95,Diem,DIEM,$176497,$0.000008,21739971929,https://coinmarketcap.com/currencies/diem/
